Time (CET),Team 1,Team 2,Score,date,link,season
12:00 AM,Panionios,Aris BC,85 - 93,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15032/panionios-aris-bc-2003-12-13,2003
12:00 AM,OFI Iraklio,Apollon Patras,103 - 101,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15030/ofi-iraklio-apollon-patras-2003-12-13,2003
12:00 AM,Peristeri,PAOK,81 - 77,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15034/peristeri-paok-2003-12-13,2003
12:00 AM,Olympiacos,Makedonikos,62 - 68,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15026/olympiacos-makedonikos-2003-12-13,2003
12:00 AM,AEK Athens,Panathinaikos,65 - 67,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15028/aek-athens-panathinaikos-2003-12-13,2003
12:00 AM,Iraklis,Marousi,70 - 68,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15022/iraklis-marousi-2003-12-13,2003
12:00 AM,Ionikos Lamias,Ilisiakos,65 - 74,"Saturday, December 13, 2003",https://www.proballers.com/basketball/game/15024/ionikos-lamias-ilisiakos-2003-12-13,2003
12:00 AM,Aris BC,OFI Iraklio,103 - 90,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15046/aris-bc-ofi-iraklio-2003-12-20,2003
12:00 AM,Panathinaikos,Olympiacos,76 - 60,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15042/panathinaikos-olympiacos-2003-12-20,2003
12:00 AM,PAOK,Panionios,74 - 81,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15048/paok-panionios-2003-12-20,2003
12:00 AM,Marousi,Ionikos Lamias,77 - 73,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15036/marousi-ionikos-lamias-2003-12-20,2003
12:00 AM,Makedonikos,Iraklis,69 - 84,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15040/makedonikos-iraklis-2003-12-20,2003
12:00 AM,Ilisiakos,Peristeri,65 - 73,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15038/ilisiakos-peristeri-2003-12-20,2003
12:00 AM,Apollon Patras,AEK Athens,86 - 85,"Saturday, December 20, 2003",https://www.proballers.com/basketball/game/15044/apollon-patras-aek-athens-2003-12-20,2003
12:00 AM,Aris BC,AEK Athens,75 - 72,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13899/aris-bc-aek-athens-2003-12-27,2003
12:00 AM,Panathinaikos,Iraklis,77 - 62,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13893/panathinaikos-iraklis-2003-12-27,2003
12:00 AM,Peristeri,Panionios,94 - 92,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13895/peristeri-panionios-2003-12-27,2003
12:00 AM,PAOK,OFI Iraklio,98 - 78,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13891/paok-ofi-iraklio-2003-12-27,2003
12:00 AM,Makedonikos,Ionikos Lamias,91 - 68,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13901/makedonikos-ionikos-lamias-2003-12-27,2003
12:00 AM,Ilisiakos,Marousi,92 - 102,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13903/ilisiakos-marousi-2003-12-27,2003
12:00 AM,Apollon Patras,Olympiacos,78 - 80,"Saturday, December 27, 2003",https://www.proballers.com/basketball/game/13897/apollon-patras-olympiacos-2003-12-27,2003
12:00 AM,Panionios,Ilisiakos,81 - 75,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13917/panionios-ilisiakos-2004-01-03,2003
12:00 AM,OFI Iraklio,Peristeri,84 - 97,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13915/ofi-iraklio-peristeri-2004-01-03,2003
12:00 AM,Olympiacos,Aris BC,63 - 70,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13911/olympiacos-aris-bc-2004-01-03,2003
12:00 AM,Marousi,Makedonikos,88 - 78,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13905/marousi-makedonikos-2004-01-03,2003
12:00 AM,AEK Athens,PAOK,92 - 85,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13913/aek-athens-paok-2004-01-03,2003
12:00 AM,Iraklis,Apollon Patras,89 - 82,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13909/iraklis-apollon-patras-2004-01-03,2003
12:00 AM,Ionikos Lamias,Panathinaikos,81 - 88,"Saturday, January 3, 2004",https://www.proballers.com/basketball/game/13907/ionikos-lamias-panathinaikos-2004-01-03,2003
12:00 AM,Olympiacos,Peristeri,80 - 78,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13939/olympiacos-peristeri-2004-01-17,2003
12:00 AM,Marousi,Apollon Patras,79 - 77,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13933/marousi-apollon-patras-2004-01-17,2003
12:00 AM,AEK Athens,Panionios,93 - 77,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13941/aek-athens-panionios-2004-01-17,2003
12:00 AM,Makedonikos,Panathinaikos,70 - 66,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13945/makedonikos-panathinaikos-2004-01-17,2003
12:00 AM,Iraklis,PAOK,90 - 79,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13937/iraklis-paok-2004-01-17,2003
12:00 AM,Ionikos Lamias,Aris BC,66 - 89,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13935/ionikos-lamias-aris-bc-2004-01-17,2003
12:00 AM,Ilisiakos,OFI Iraklio,91 - 77,"Saturday, January 17, 2004",https://www.proballers.com/basketball/game/13943/ilisiakos-ofi-iraklio-2004-01-17,2003
12:00 AM,Aris BC,Marousi,101 - 89,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14297/aris-bc-marousi-2004-01-24,2003
12:00 AM,Panionios,Olympiacos,99 - 78,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14303/panionios-olympiacos-2004-01-24,2003
12:00 AM,OFI Iraklio,AEK Athens,78 - 80,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14305/ofi-iraklio-aek-athens-2004-01-24,2003
12:00 AM,Panathinaikos,Ilisiakos,95 - 78,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14307/panathinaikos-ilisiakos-2004-01-24,2003
12:00 AM,Peristeri,Iraklis,55 - 66,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14301/peristeri-iraklis-2004-01-24,2003
12:00 AM,PAOK,Ionikos Lamias,85 - 68,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14299/paok-ionikos-lamias-2004-01-24,2003
12:00 AM,Apollon Patras,Makedonikos,97 - 73,"Saturday, January 24, 2004",https://www.proballers.com/basketball/game/14309/apollon-patras-makedonikos-2004-01-24,2003
12:00 AM,Panathinaikos,Apollon Patras,91 - 63,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14616/panathinaikos-apollon-patras-2004-01-31,2003
12:00 AM,Olympiacos,OFI Iraklio,87 - 52,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14610/olympiacos-ofi-iraklio-2004-01-31,2003
12:00 AM,Marousi,PAOK,88 - 70,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14604/marousi-paok-2004-01-31,2003
12:00 AM,Makedonikos,Aris BC,84 - 93,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14614/makedonikos-aris-bc-2004-01-31,2003
12:00 AM,Iraklis,Panionios,70 - 84,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14608/iraklis-panionios-2004-01-31,2003
12:00 AM,Ionikos Lamias,Peristeri,86 - 84,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14606/ionikos-lamias-peristeri-2004-01-31,2003
12:00 AM,Ilisiakos,AEK Athens,83 - 86,"Saturday, January 31, 2004",https://www.proballers.com/basketball/game/14612/ilisiakos-aek-athens-2004-01-31,2003
12:00 AM,Aris BC,Panathinaikos,75 - 77,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14648/aris-bc-panathinaikos-2004-02-07,2003
12:00 AM,Panionios,Ionikos Lamias,93 - 88,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14638/panionios-ionikos-lamias-2004-02-07,2003
12:00 AM,OFI Iraklio,Iraklis,58 - 75,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14640/ofi-iraklio-iraklis-2004-02-07,2003
12:00 AM,Peristeri,Marousi,64 - 69,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14636/peristeri-marousi-2004-02-07,2003
12:00 AM,PAOK,Makedonikos,91 - 71,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14646/paok-makedonikos-2004-02-07,2003
12:00 AM,AEK Athens,Olympiacos,94 - 79,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14642/aek-athens-olympiacos-2004-02-07,2003
12:00 AM,Apollon Patras,Ilisiakos,86 - 75,"Saturday, February 7, 2004",https://www.proballers.com/basketball/game/14644/apollon-patras-ilisiakos-2004-02-07,2003
12:00 AM,Panathinaikos,PAOK,92 - 73,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14731/panathinaikos-paok-2004-02-14,2003
12:00 AM,Marousi,Panionios,91 - 83,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14721/marousi-panionios-2004-02-14,2003
12:00 AM,Makedonikos,Peristeri,71 - 78,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14729/makedonikos-peristeri-2004-02-14,2003
12:00 AM,Iraklis,AEK Athens,95 - 74,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14725/iraklis-aek-athens-2004-02-14,2003
12:00 AM,Ionikos Lamias,OFI Iraklio,94 - 87,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14723/ionikos-lamias-ofi-iraklio-2004-02-14,2003
12:00 AM,Ilisiakos,Olympiacos,65 - 68,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14727/ilisiakos-olympiacos-2004-02-14,2003
12:00 AM,Apollon Patras,Aris BC,102 - 97,"Saturday, February 14, 2004",https://www.proballers.com/basketball/game/14733/apollon-patras-aris-bc-2004-02-14,2003
12:00 AM,Aris BC,Panathinaikos,72 - 77,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21662/aris-bc-panathinaikos-2004-10-16,2004
12:00 AM,Olympiacos,Ionikos Lamias,67 - 70,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21660/olympiacos-ionikos-lamias-2004-10-16,2004
12:00 AM,AEK Athens,Panionios,74 - 81,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21664/aek-athens-panionios-2004-10-16,2004
12:00 AM,Makedonikos,Marousi,70 - 68,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21666/makedonikos-marousi-2004-10-16,2004
12:00 AM,Apollon Patras,Iraklis,69 - 61,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21661/apollon-patras-iraklis-2004-10-16,2004
12:00 AM,Panellinios BC,PAOK,61 - 74,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21663/panellinios-bc-paok-2004-10-16,2004
12:00 AM,Ment,Olympia Larissa,81 - 69,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21665/ment-olympia-larissa-2004-10-16,2004
12:00 AM,Panionios,Panellinios BC,77 - 74,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21670/panionios-panellinios-bc-2004-10-20,2004
12:00 AM,Panathinaikos,Apollon Patras,79 - 64,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21668/panathinaikos-apollon-patras-2004-10-20,2004
12:00 AM,PAOK,Aris BC,92 - 79,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21669/paok-aris-bc-2004-10-20,2004
12:00 AM,Marousi,Ment,85 - 66,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21672/marousi-ment-2004-10-20,2004
12:00 AM,Iraklis,Olympiacos,90 - 86,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21667/iraklis-olympiacos-2004-10-20,2004
12:00 AM,Ionikos Lamias,Makedonikos,61 - 68,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21673/ionikos-lamias-makedonikos-2004-10-20,2004
12:00 AM,Olympia Larissa,AEK Athens,62 - 73,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21671/olympia-larissa-aek-athens-2004-10-20,2004
12:00 AM,Aris BC,Panionios,84 - 70,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21676/aris-bc-panionios-2004-10-23,2004
12:00 AM,Olympiacos,Panathinaikos,81 - 74,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21674/olympiacos-panathinaikos-2004-10-23,2004
12:00 AM,AEK Athens,Marousi,90 - 92,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21678/aek-athens-marousi-2004-10-23,2004
12:00 AM,Ionikos Lamias,Iraklis,87 - 78,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21680/ionikos-lamias-iraklis-2004-10-23,2004
12:00 AM,Apollon Patras,PAOK,80 - 88,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21675/apollon-patras-paok-2004-10-23,2004
12:00 AM,Panellinios BC,Olympia Larissa,72 - 61,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21677/panellinios-bc-olympia-larissa-2004-10-23,2004
12:00 AM,Ment,Makedonikos,71 - 77,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21679/ment-makedonikos-2004-10-23,2004
12:00 AM,Panionios,Apollon Patras,88 - 82,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21682/panionios-apollon-patras-2004-10-27,2004
12:00 AM,Panathinaikos,Iraklis,88 - 59,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21687/panathinaikos-iraklis-2004-10-27,2004
12:00 AM,PAOK,Olympiacos,83 - 73,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21681/paok-olympiacos-2004-10-27,2004
12:00 AM,Marousi,Panellinios BC,76 - 69,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21684/marousi-panellinios-bc-2004-10-27,2004
12:00 AM,Makedonikos,AEK Athens,74 - 84,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21685/makedonikos-aek-athens-2004-10-27,2004
12:00 AM,Olympia Larissa,Aris BC,73 - 81,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21683/olympia-larissa-aris-bc-2004-10-27,2004
12:00 AM,Ment,Ionikos Lamias,97 - 94,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21686/ment-ionikos-lamias-2004-10-27,2004
12:00 AM,Aris BC,Marousi,80 - 87,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21690/aris-bc-marousi-2004-10-30,2004
12:00 AM,Olympiacos,Panionios,79 - 66,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21688/olympiacos-panionios-2004-10-30,2004
12:00 AM,AEK Athens,Ment,80 - 71,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21692/aek-athens-ment-2004-10-30,2004
12:00 AM,Iraklis,PAOK,69 - 67,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21694/iraklis-paok-2004-10-30,2004
12:00 AM,Ionikos Lamias,Panathinaikos,64 - 90,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21693/ionikos-lamias-panathinaikos-2004-10-30,2004
12:00 AM,Apollon Patras,Olympia Larissa,99 - 78,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21689/apollon-patras-olympia-larissa-2004-10-30,2004
12:00 AM,Panellinios BC,Makedonikos,73 - 75,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21691/panellinios-bc-makedonikos-2004-10-30,2004
12:00 AM,Panionios,Iraklis,89 - 72,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21700/panionios-iraklis-2004-11-06,2004
12:00 AM,PAOK,Panathinaikos,66 - 79,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21701/paok-panathinaikos-2004-11-06,2004
12:00 AM,Marousi,Apollon Patras,83 - 71,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21696/marousi-apollon-patras-2004-11-06,2004
12:00 AM,AEK Athens,Ionikos Lamias,98 - 70,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21699/aek-athens-ionikos-lamias-2004-11-06,2004
12:00 AM,Makedonikos,Aris BC,78 - 81,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21697/makedonikos-aris-bc-2004-11-06,2004
12:00 AM,Olympia Larissa,Olympiacos,81 - 71,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21695/olympia-larissa-olympiacos-2004-11-06,2004
12:00 AM,Ment,Panellinios BC,65 - 72,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21698/ment-panellinios-bc-2004-11-06,2004
12:00 AM,Aris BC,Ment,90 - 63,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21704/aris-bc-ment-2004-11-13,2004
12:00 AM,Panathinaikos,Panionios,99 - 65,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21708/panathinaikos-panionios-2004-11-13,2004
12:00 AM,Olympiacos,Marousi,86 - 82,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21702/olympiacos-marousi-2004-11-13,2004
12:00 AM,Iraklis,Olympia Larissa,65 - 54,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21707/iraklis-olympia-larissa-2004-11-13,2004
12:00 AM,Ionikos Lamias,PAOK,98 - 94,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21706/ionikos-lamias-paok-2004-11-13,2004
12:00 AM,Apollon Patras,Makedonikos,68 - 66,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21703/apollon-patras-makedonikos-2004-11-13,2004
12:00 AM,Panellinios BC,AEK Athens,65 - 91,"Saturday, November 13, 2004",https://www.proballers.com/basketball/game/21705/panellinios-bc-aek-athens-2004-11-13,2004
12:00 AM,Panionios,PAOK,93 - 89,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21715/panionios-paok-2004-11-20,2004
12:00 AM,Marousi,Iraklis,78 - 69,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21713/marousi-iraklis-2004-11-20,2004
12:00 AM,AEK Athens,Aris BC,82 - 66,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21711/aek-athens-aris-bc-2004-11-20,2004
12:00 AM,Makedonikos,Olympiacos,72 - 60,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21709/makedonikos-olympiacos-2004-11-20,2004
12:00 AM,Olympia Larissa,Panathinaikos,82 - 79,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21714/olympia-larissa-panathinaikos-2004-11-20,2004
12:00 AM,Panellinios BC,Ionikos Lamias,77 - 88,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21712/panellinios-bc-ionikos-lamias-2004-11-20,2004
12:00 AM,Ment,Apollon Patras,70 - 69,"Saturday, November 20, 2004",https://www.proballers.com/basketball/game/21710/ment-apollon-patras-2004-11-20,2004
12:00 AM,Aris BC,Panellinios BC,92 - 72,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21718/aris-bc-panellinios-bc-2004-11-27,2004
12:00 AM,Panathinaikos,Marousi,83 - 68,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21721/panathinaikos-marousi-2004-11-27,2004
12:00 AM,PAOK,Olympia Larissa,87 - 67,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21722/paok-olympia-larissa-2004-11-27,2004
12:00 AM,Olympiacos,Ment,79 - 67,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21716/olympiacos-ment-2004-11-27,2004
12:00 AM,Iraklis,Makedonikos,59 - 58,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21720/iraklis-makedonikos-2004-11-27,2004
12:00 AM,Ionikos Lamias,Panionios,87 - 84,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21719/ionikos-lamias-panionios-2004-11-27,2004
12:00 AM,Apollon Patras,AEK Athens,90 - 84,"Saturday, November 27, 2004",https://www.proballers.com/basketball/game/21717/apollon-patras-aek-athens-2004-11-27,2004
12:00 AM,Aris BC,Ionikos Lamias,98 - 81,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21725/aris-bc-ionikos-lamias-2004-12-04,2004
12:00 AM,Marousi,PAOK,63 - 69,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21728/marousi-paok-2004-12-04,2004
12:00 AM,AEK Athens,Olympiacos,85 - 76,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21723/aek-athens-olympiacos-2004-12-04,2004
12:00 AM,Makedonikos,Panathinaikos,47 - 59,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21727/makedonikos-panathinaikos-2004-12-04,2004
12:00 AM,Olympia Larissa,Panionios,83 - 86,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21729/olympia-larissa-panionios-2004-12-04,2004
12:00 AM,Panellinios BC,Apollon Patras,85 - 78,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21724/panellinios-bc-apollon-patras-2004-12-04,2004
12:00 AM,Ment,Iraklis,48 - 73,"Saturday, December 4, 2004",https://www.proballers.com/basketball/game/21726/ment-iraklis-2004-12-04,2004
12:00 AM,Aris BC,Panathinaikos,72 - 77,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21662/aris-bc-panathinaikos-2004-10-16,2004
12:00 AM,Olympiacos,Ionikos Lamias,67 - 70,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21660/olympiacos-ionikos-lamias-2004-10-16,2004
12:00 AM,AEK Athens,Panionios,74 - 81,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21664/aek-athens-panionios-2004-10-16,2004
12:00 AM,Makedonikos,Marousi,70 - 68,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21666/makedonikos-marousi-2004-10-16,2004
12:00 AM,Apollon Patras,Iraklis,69 - 61,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21661/apollon-patras-iraklis-2004-10-16,2004
12:00 AM,Panellinios BC,PAOK,61 - 74,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21663/panellinios-bc-paok-2004-10-16,2004
12:00 AM,Ment,Olympia Larissa,81 - 69,"Saturday, October 16, 2004",https://www.proballers.com/basketball/game/21665/ment-olympia-larissa-2004-10-16,2004
12:00 AM,Panionios,Panellinios BC,77 - 74,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21670/panionios-panellinios-bc-2004-10-20,2004
12:00 AM,Panathinaikos,Apollon Patras,79 - 64,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21668/panathinaikos-apollon-patras-2004-10-20,2004
12:00 AM,PAOK,Aris BC,92 - 79,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21669/paok-aris-bc-2004-10-20,2004
12:00 AM,Marousi,Ment,85 - 66,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21672/marousi-ment-2004-10-20,2004
12:00 AM,Iraklis,Olympiacos,90 - 86,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21667/iraklis-olympiacos-2004-10-20,2004
12:00 AM,Ionikos Lamias,Makedonikos,61 - 68,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21673/ionikos-lamias-makedonikos-2004-10-20,2004
12:00 AM,Olympia Larissa,AEK Athens,62 - 73,"Wednesday, October 20, 2004",https://www.proballers.com/basketball/game/21671/olympia-larissa-aek-athens-2004-10-20,2004
12:00 AM,Aris BC,Panionios,84 - 70,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21676/aris-bc-panionios-2004-10-23,2004
12:00 AM,Olympiacos,Panathinaikos,81 - 74,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21674/olympiacos-panathinaikos-2004-10-23,2004
12:00 AM,AEK Athens,Marousi,90 - 92,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21678/aek-athens-marousi-2004-10-23,2004
12:00 AM,Ionikos Lamias,Iraklis,87 - 78,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21680/ionikos-lamias-iraklis-2004-10-23,2004
12:00 AM,Apollon Patras,PAOK,80 - 88,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21675/apollon-patras-paok-2004-10-23,2004
12:00 AM,Panellinios BC,Olympia Larissa,72 - 61,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21677/panellinios-bc-olympia-larissa-2004-10-23,2004
12:00 AM,Ment,Makedonikos,71 - 77,"Saturday, October 23, 2004",https://www.proballers.com/basketball/game/21679/ment-makedonikos-2004-10-23,2004
12:00 AM,Panionios,Apollon Patras,88 - 82,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21682/panionios-apollon-patras-2004-10-27,2004
12:00 AM,Panathinaikos,Iraklis,88 - 59,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21687/panathinaikos-iraklis-2004-10-27,2004
12:00 AM,PAOK,Olympiacos,83 - 73,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21681/paok-olympiacos-2004-10-27,2004
12:00 AM,Marousi,Panellinios BC,76 - 69,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21684/marousi-panellinios-bc-2004-10-27,2004
12:00 AM,Makedonikos,AEK Athens,74 - 84,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21685/makedonikos-aek-athens-2004-10-27,2004
12:00 AM,Olympia Larissa,Aris BC,73 - 81,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21683/olympia-larissa-aris-bc-2004-10-27,2004
12:00 AM,Ment,Ionikos Lamias,97 - 94,"Wednesday, October 27, 2004",https://www.proballers.com/basketball/game/21686/ment-ionikos-lamias-2004-10-27,2004
12:00 AM,Aris BC,Marousi,80 - 87,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21690/aris-bc-marousi-2004-10-30,2004
12:00 AM,Olympiacos,Panionios,79 - 66,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21688/olympiacos-panionios-2004-10-30,2004
12:00 AM,AEK Athens,Ment,80 - 71,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21692/aek-athens-ment-2004-10-30,2004
12:00 AM,Iraklis,PAOK,69 - 67,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21694/iraklis-paok-2004-10-30,2004
12:00 AM,Ionikos Lamias,Panathinaikos,64 - 90,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21693/ionikos-lamias-panathinaikos-2004-10-30,2004
12:00 AM,Apollon Patras,Olympia Larissa,99 - 78,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21689/apollon-patras-olympia-larissa-2004-10-30,2004
12:00 AM,Panellinios BC,Makedonikos,73 - 75,"Saturday, October 30, 2004",https://www.proballers.com/basketball/game/21691/panellinios-bc-makedonikos-2004-10-30,2004
12:00 AM,Panionios,Iraklis,89 - 72,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21700/panionios-iraklis-2004-11-06,2004
12:00 AM,PAOK,Panathinaikos,66 - 79,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21701/paok-panathinaikos-2004-11-06,2004
12:00 AM,Marousi,Apollon Patras,83 - 71,"Saturday, November 6, 2004",https://www.proballers.com/basketball/game/21696/marousi-apollon-patras-2004-11-06,2004
